,MA,Peers Average,Difference,Percent Difference (%)
P/E Ratio,39.98186,168.29919074999998,-128.31733075,-76.24358155150549
PEG Ratio,1.9579537804528175,28.08982522071471,-26.131871440261893,-93.02966905251894
Price/Book,65.40868,14.164030555555554,51.24464944444445,361.7942593631639
Profit Margin,0.45262,0.156511112,0.296108888,189.19352384385334
Return on Equity,1.7757801,0.16699999999999995,1.6087801,963.3413772455093
Debt/Equity,244.839,48.14255555555556,196.69644444444444,408.5708416900732
