Revenue Growth Rate (%),Terminal Growth Rate (%),Intrinsic Value per Share
3.0,2.0,26.23498982796205
3.0,3.0,26.249228981164528
3.0,4.0,26.263495466719625
5.0,2.0,28.231373776923636
5.0,3.0,28.24705011188258
5.0,4.0,28.2627565378946
7.000000000000001,2.0,30.367475004034855
7.000000000000001,3.0,30.38470229256876
7.000000000000001,4.0,30.401962649243593
